X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
0.08636538,0.03917114,0.006284118,0.01431361,0.004078733,0.006360731,0.006183311,0.00497683,0.007014447,0.01074268,0.001049463,0.009189016,0.05986021,0.009836907,0.001733736,0.01663791,0.00419182,0.023987161,0.02057795,0.03709181,0.290971172,0.30706613,0.08070128,0.006945691,0.03248874
0.08636538,0.03917114,0.006284118,0.01431361,0.004078733,0.006360731,0.006183311,0.00497683,0.007014447,0.01074268,0.001049463,0.009189016,0.05986021,0.009836907,0.001733736,0.01663791,0.00419182,0.023987161,0.02057795,0.03709181,0.290971172,0.30706613,0.08070128,0.006945691,0.03248874
0.16220718,0.01400798,0.0920064,0.14101263,0.04229771,0.005749543,0.06472503,0.0138267,0.02958517,0.14702322,0.005521084,0.4173486,0.09417329,0.005543141,0.03733216,0.04018864,0.009637812,0.004296714,0.005775329,0.02594428,0.03651176,0.03004994,0.02931015,0.008298748,0.01369683
0.1187548,0.01375036,0.07577655,0.12214257,0.04135791,0.006047686,0.13461717,0.0165509,0.05373606,0.15206092,0.007832343,0.3354982,0.04720355,0.006049725,0.03728214,0.05632985,0.01248051,0.006362094,0.005596196,0.03119252,0.02198097,0.01358089,0.01779179,0.010039365,0.01940125
0.08174392,0.01524286,0.08028838,0.09776817,0.05605947,0.006369056,0.16206553,0.02214808,0.07594575,0.12690214,0.01035987,0.2802939,0.03811158,0.006982815,0.03777573,0.07462162,0.017087095,0.008634001,0.006624831,0.03287667,0.02192538,0.01098843,0.01487484,0.011640493,0.02387489
0.05464897,0.01771034,0.08987017,0.07378736,0.07991738,0.007016253,0.15661875,0.02787858,0.09420744,0.09603834,0.012441225,0.2442563,0.03763962,0.008056188,0.04196301,0.0901693,0.02289736,0.011313931,0.008350846,0.0298509,0.02438414,0.01161381,0.01469328,0.0127494,0.02681026
0.04505165,0.02027327,0.09560707,0.05690291,0.1051694,0.008062584,0.13267935,0.03172105,0.10566883,0.07277891,0.014446686,0.2283887,0.04005156,0.009245714,0.05223359,0.10045883,0.02788861,0.014410528,0.010389907,0.0242264,0.02703345,0.01352423,0.01608739,0.013370068,0.02692875
0.06247136,0.0223725,0.09184741,0.05670373,0.12044945,0.009441841,0.11452802,0.03281227,0.10675875,0.06514663,0.017316796,0.2275303,0.04435632,0.010951475,0.06797371,0.10377577,0.029004771,0.017980186,0.011957067,0.02731135,0.03022623,0.01658682,0.01853426,0.014048569,0.02400316
0.12878898,0.02396375,0.08122806,0.08762345,0.11595579,0.010306828,0.13549767,0.03350309,0.09093915,0.06904318,0.022941618,0.2333939,0.05101695,0.013748198,0.08079658,0.09792326,0.023453202,0.021513157,0.011903583,0.06768075,0.03596583,0.0214635,0.0218627,0.014826019,0.02014452
0.22374593,0.02057326,0.07922494,0.14470195,0.07454092,0.007506404,0.20030098,0.03286267,0.06113747,0.07266734,0.025158155,0.2777243,0.05076121,0.013696755,0.05983076,0.07725374,0.013681438,0.016827476,0.008457553,0.13826731,0.03537424,0.02112711,0.02219596,0.011805065,0.02201288
0.20151999,0.01530092,0.08273947,0.14435883,0.04702123,0.005115897,0.19890819,0.0277482,0.06515209,0.07252464,0.017613726,0.3248533,0.04263594,0.009615394,0.03548637,0.06628992,0.01422283,0.008833284,0.006260191,0.1186937,0.02526828,0.01358093,0.01740261,0.008175567,0.02628616
0.16452214,0.01385548,0.08064566,0.13138844,0.04328154,0.004946252,0.18138484,0.02524751,0.07617152,0.07596487,0.013457944,0.3334033,0.03931384,0.007809709,0.03149382,0.06481694,0.01681262,0.006966723,0.0060208,0.08852215,0.02130341,0.01038778,0.01464077,0.007681788,0.02739581
0.41915339,0.03100805,0.005254102,0.02803235,0.005348985,0.00516835,0.011314057,0.001664693,0.004023081,0.01072499,0.008106885,0.025001485,0.02641673,0.003828981,0.000340744,0.01562906,0.01468732,0.007275447,0.02281834,0.41132906,0.005932764,0.01145932,0.000430757,0.007482793,0.0264222
0.41915339,0.03100805,0.005254102,0.02803235,0.005348985,0.00516835,0.011314057,0.001664693,0.004023081,0.01072499,0.008106885,0.025001485,0.02641673,0.003828981,0.000340744,0.01562906,0.01468732,0.007275447,0.02281834,0.41132906,0.005932764,0.01145932,0.000430757,0.007482793,0.0264222
0.41915339,0.03100805,0.005254102,0.02803235,0.005348985,0.00516835,0.011314057,0.001664693,0.004023081,0.01072499,0.008106885,0.025001485,0.02641673,0.003828981,0.000340744,0.01562906,0.01468732,0.007275447,0.02281834,0.41132906,0.005932764,0.01145932,0.000430757,0.007482793,0.0264222
0.41915339,0.03100805,0.005254102,0.02803235,0.005348985,0.00516835,0.011314057,0.001664693,0.004023081,0.01072499,0.008106885,0.025001485,0.02641673,0.003828981,0.000340744,0.01562906,0.01468732,0.007275447,0.02281834,0.41132906,0.005932764,0.01145932,0.000430757,0.007482793,0.0264222
0.41915339,0.03100805,0.005254102,0.02803235,0.005348985,0.00516835,0.011314057,0.001664693,0.004023081,0.01072499,0.008106885,0.025001485,0.02641673,0.003828981,0.000340744,0.01562906,0.01468732,0.007275447,0.02281834,0.41132906,0.005932764,0.01145932,0.000430757,0.007482793,0.0264222
0.41915339,0.03100805,0.005254102,0.02803235,0.005348985,0.00516835,0.011314057,0.001664693,0.004023081,0.01072499,0.008106885,0.025001485,0.02641673,0.003828981,0.000340744,0.01562906,0.01468732,0.007275447,0.02281834,0.41132906,0.005932764,0.01145932,0.000430757,0.007482793,0.0264222
